C9319	http://appstore.huawei.com:80/app/C9319	QQ	C10111119:QQ轻聊版,C50927:QQ HD,C5683:微信,C2543:QQ同步助手,C5373:支付宝,C2682:搜狗输入法,C10397414:QQ空间,C3466:酷狗音乐,C21976:UC浏览器,C10220136:QQ音乐,C5683:微信,C9319:QQ,C7166:微博,C10085602:花粉俱乐部,C23563:陌陌,C10154337:易信,C38660:电信营业厅,C37549:189邮箱,C10405418:QQ邮箱,C19185:百度贴吧,
C2002	http://appstore.huawei.com:80/app/C2002	爱奇艺	C52577:爱奇艺PPS,C32569:优酷,C10132452:芒果TV,C10220136:QQ音乐,C29156:腾讯视频,C53424:土豆视频,C20960:搜狐视频,C9136:唯品会,C5206:美团,C3466:酷狗音乐,C10021449:音乐,C2002:爱奇艺,C3466:酷狗音乐,C32569:优酷,C29156:腾讯视频,C20960:搜狐视频,C290:酷我音乐-中国…,C10220136:QQ音乐,C10162466:爱看4G视频,C2068:多米音乐,
C29156	http://appstore.huawei.com:80/app/C29156	腾讯视频	C9136:唯品会,C20960:搜狐视频,C32569:优酷,C21976:UC浏览器,C104688:腾讯新闻,C5206:美团,C10220136:QQ音乐,C53424:土豆视频,C3466:酷狗音乐,C10134672:开心消消乐™,C10021449:音乐,C2002:爱奇艺,C3466:酷狗音乐,C32569:优酷,C29156:腾讯视频,C20960:搜狐视频,C290:酷我音乐-中国…,C10220136:QQ音乐,C10162466:爱看4G视频,C2068:多米音乐,
C121553	http://appstore.huawei.com:80/app/C121553	WPS Office	C37127:Adobe Acroba…,C112044:超级课程表,C66323:华为备份,C10113430:CAD快速看图,C10166330:网易邮箱大师,C381:网易有道词典,C6468:金山词霸,C10405418:QQ邮箱,C10068705:扫描全能王,C10047082:知乎,C121553:WPS Office,C381:网易有道词典,C174391:百度云,C5458:驾考宝典,C10113015:作业帮,C10191382:小猿搜题,C10082485:名片全能王,C6468:金山词霸,C10068705:扫描全能王,C10208807:驾校一点通,
C20679	http://appstore.huawei.com:80/app/C20679	QQ浏览器	C10035716:搜狗浏览器,C10150873:猎豹浏览器,C43397:百度浏览器,C177684:搜狗阅读,C10115951:掌上英雄联盟,C10397414:QQ空间,C2510:QQ阅读,C21976:UC浏览器,C43719:迅雷,C2682:搜狗输入法,C36902:WiFi万能钥匙,C27162:华为应用市场,C66323:华为备份,C21976:UC浏览器,C10055832:华为文件管理,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10132067:华为帐号,
C36902	http://appstore.huawei.com:80/app/C36902	WiFi万能钥匙	C10182278:WiFi钥匙-密…,C10222074:WiFi万能密码,C183901:WiFi信号增强…,C3466:酷狗音乐,C5683:微信,C10397414:QQ空间,C9319:QQ,C2682:搜狗输入法,C54626:铃声多多,C188494: 魔秀桌面,C36902:WiFi万能钥匙,C27162:华为应用市场,C66323:华为备份,C21976:UC浏览器,C10055832:华为文件管理,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10132067:华为帐号,
C7166	http://appstore.huawei.com:80/app/C7166	微博	C10084137:新浪微博(G3版…,C6056298:VSCO Cam™,C19185:百度贴吧,C10047082:知乎,C10159988:in,C10204517:MIX,C10125085:哔哩哔哩动画,C10318669:PicsArt,C10168892:网易云音乐,C10231827:快看漫画,C5683:微信,C9319:QQ,C7166:微博,C10085602:花粉俱乐部,C23563:陌陌,C10154337:易信,C38660:电信营业厅,C37549:189邮箱,C10405418:QQ邮箱,C19185:百度贴吧,
C10049053	http://appstore.huawei.com:80/app/C10049053	华为商城	C10085602:花粉俱乐部,C10217244:华为钱包,C10168550:亲情关怀,C10055832:华为文件管理,C10067631:华为手机服务,C10132067:华为帐号,C10207207:华为云服务,C66323:华为备份,C10465316:华为众测,C10021449:音乐,C34075:手机淘宝,C10049053:华为商城,C5206:美团,C10608:大众点评,C57804:天猫,C20252:手机京东,C9136:唯品会,C10116109:百度糯米,C41277:苏宁易购,C10284106:美丽说,
C5373	http://appstore.huawei.com:80/app/C5373	支付宝	C34075:手机淘宝,C5206:美团,C10069955:千牛,C21976:UC浏览器,C10101754:招商银行,C136900:掌上生活,C2543:QQ同步助手,C10099655:铁路12306,C9136:唯品会,C9319:QQ,C10060708:华为支付,C5373:支付宝,C10217244:华为钱包,C2861:同花顺股票,C10092701:中国建设银行,C10366337:翼支付,C3400:随手记,C10243018:中国工商银行,C10101754:招商银行,C10092751:中国银行,
C27162	http://appstore.huawei.com:80/app/C27162	华为应用市场	C10055832:华为文件管理,C10067631:华为手机服务,C10132067:华为帐号,C10060708:华为支付,C66323:华为备份,C10021449:音乐,C10168550:亲情关怀,C10207207:华为云服务,C10085602:花粉俱乐部,C10217244:华为钱包,C36902:WiFi万能钥匙,C27162:华为应用市场,C66323:华为备份,C21976:UC浏览器,C10055832:华为文件管理,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10132067:华为帐号,
C10132067	http://appstore.huawei.com:80/app/C10132067	华为帐号	C10055832:华为文件管理,C10067631:华为手机服务,C10060708:华为支付,C10207207:华为云服务,C10200687:华为视频,C10168550:亲情关怀,C66323:华为备份,C10217244:华为钱包,C10021449:音乐,C10085602:花粉俱乐部,C36902:WiFi万能钥匙,C27162:华为应用市场,C66323:华为备份,C21976:UC浏览器,C10055832:华为文件管理,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10132067:华为帐号,
C34075	http://appstore.huawei.com:80/app/C34075	手机淘宝	C5373:支付宝,C5206:美团,C57804:天猫,C21976:UC浏览器,C7166:微博,C10397414:QQ空间,C31852:蘑菇街,C20252:手机京东,C19185:百度贴吧,C121553:WPS Office,C34075:手机淘宝,C10049053:华为商城,C5206:美团,C10608:大众点评,C57804:天猫,C20252:手机京东,C9136:唯品会,C10116109:百度糯米,C41277:苏宁易购,C10284106:美丽说,
C10060708	http://appstore.huawei.com:80/app/C10060708	华为支付	C10132067:华为帐号,C10217244:华为钱包,C10055832:华为文件管理,C10067631:华为手机服务,C10168550:亲情关怀,C10200687:华为视频,C10360236:华为视频,C10085602:花粉俱乐部,C10465316:华为众测,C10021449:音乐,C10060708:华为支付,C5373:支付宝,C10217244:华为钱包,C2861:同花顺股票,C10092701:中国建设银行,C10366337:翼支付,C3400:随手记,C10243018:中国工商银行,C10101754:招商银行,C10092751:中国银行,
